,classification_id,user_id,workflow_id,annotations,subject_ids
279,388738010,2394958,20494,"isolated, slightly extended, clear counterpart",71287294
280,388738894,2394958,20494,"extended, complex, possible jet, association with neighbour component, no counterpart",71287184
281,388739222,2394958,20494,"noise, no counterpart",71287166
282,388739242,2394958,20494,"isolated, slightly extended, clear counterpart",71287108
283,388750856,2394958,20494,"isolated, slightly extended, clear counterpart",71287235
284,388750875,2394958,20494,"complex, extended, no counterpart",71287178
285,388750955,2394958,20494,"complex, extended, possible lobe, possible association with neighbour component, ambiguous counterpart",71287032
286,388750994,2394958,20494,"lobe, double lobe system, associated with adjacent component, clear counterpart",71287284
287,388751040,2394958,20494,"complex, extended, possible association with adjacent component, clear counterpart",71287154
288,388751053,2394958,20494,"isolated, compact, clear counterpart",71287049
289,388751087,2394958,20494,"extended, complex, possible jet, possible association with neighbour component, no counterpart",71287142
290,388751123,2394958,20494,"extended, complex, possible jet, possible association with adjacent component, no counterpart",71287006
291,388751154,2394958,20494,"isolated, slightly extended, faint counterpart",71287117
292,388751204,2394958,20494,"compact, possible association with adjacent component, no counterpart",71287234
293,388751262,2394958,20494,"complex, extended, low surface brightness extended emission, isolated, no counterpart",71287170
294,388751276,2394958,20494,"compact, isolated, clear counterpart",71287094
295,388751313,2394958,20494,"jet or lobe, associated with adjacent component, no counterpart",71287254
296,388751333,2394958,20494,"isolated, slightly extended, bright, no counterpart",71287010
297,388751377,2394958,20494,"lobe, associated with adjacent component, no counterpart",71287104
298,388751436,2394958,20494,"bright, complex, extended, very large emission region, no counterpart",71286999
299,388751484,2394958,20494,"lobe of double lobe system, lobe, extended, associated with adjacent component, ambiguous counterpart",71287004
300,388751529,2394958,20494,"lobe of double lobe system, lobe, associated with adjacent component, ambiguous counterpart",71287271
301,388751584,2394958,20494,"faint, noisy, slightly extended, isolated, faint counterpart",71287260
302,388751667,2394958,20494,"extended, possible association with adjacent component, clear counterpart, possible interacting system",71287063
303,388751759,2394958,20494,"extended, complex, clear counterpart, large galaxy, adjacent stellar (star or quasar) source possibly associated with bright compact radio neighbour",71287266
304,388751791,2394958,20494,"slightly extended, isolated, ambiguous counterpart",71287198
