,subject_ids,amorphous,asymmetric brightness,asymmetric structure,bent,bridge,compact,core,diffuse,double,edge brightened,extended,faint,host,hourglass,jet,lobe,merger,peak,plume,small,tail,traces host galaxy,coordinates
36,71287034,0,2,0,0,0,0,1,0,4,1,2,2,2,1,0,1,0,1,0,0,0,0,J202500-545310
37,71287035,0,0,0,0,1,2,2,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,J202511-562607
38,71287036,0,0,0,2,0,1,0,1,1,0,1,2,2,0,0,0,0,1,0,0,1,1,J202517-564707
39,71287037,0,0,2,1,0,0,1,0,1,0,3,4,1,0,0,0,0,1,0,0,1,1,J202520-545939
40,71287038,0,0,1,0,1,2,0,1,0,0,1,3,1,0,0,0,0,0,0,1,1,1,J202557-555638
41,71287039,0,0,0,3,1,0,0,0,2,0,0,1,2,1,0,0,0,1,0,0,0,1,J202602-553602
42,71287040,1,0,0,5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,2,2,1,J202604-564008
43,71287041,1,0,0,5,1,1,1,1,0,0,3,2,1,0,0,0,0,3,0,0,1,0,J202609-542754
44,71287042,0,0,0,2,0,1,0,0,2,0,2,1,3,0,2,0,0,1,0,0,1,0,J202611-533136
45,71287043,0,0,0,0,1,0,0,0,3,3,1,1,2,0,2,0,0,2,0,0,1,0,J202612-544728
46,71287044,0,0,1,1,1,2,2,0,2,0,1,0,3,0,0,0,0,1,0,0,0,0,J202614-565512
47,71287045,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,J202615-561125
48,71287046,0,1,0,0,1,0,0,1,2,2,5,0,2,0,1,0,0,2,0,0,0,0,J202643-552146
49,71287047,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,J202653-535633
50,71287048,1,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,3,1,1,1,0,J202657-565605
51,71287049,1,0,1,0,0,4,1,0,0,0,0,5,2,0,0,0,0,1,0,1,1,1,J202700-572946
52,71287050,0,0,1,1,0,1,0,1,1,0,1,2,3,0,0,0,0,1,0,1,0,0,J202710-530638
53,71287051,0,0,1,0,1,1,0,0,4,1,1,0,4,2,1,0,0,3,0,0,0,0,J202712-562949
54,71287052,0,0,0,0,0,0,0,3,1,1,5,0,1,0,1,0,0,1,0,0,2,0,J202713-551949
55,71287053,0,0,0,0,0,0,1,1,0,0,3,1,4,0,1,0,0,1,0,0,0,0,J202715-551735
56,71287054,2,0,2,1,1,0,1,5,0,0,4,1,3,1,0,0,0,1,0,0,0,0,J202716-553047
57,71287055,0,0,0,0,1,0,1,1,3,0,1,1,2,0,0,0,0,0,0,0,1,0,J202802-553421
58,71287056,0,0,1,0,0,1,0,3,0,0,1,1,1,0,0,0,0,0,0,1,0,0,J202815-553558
59,71287057,1,1,0,1,0,1,0,0,0,0,1,2,3,0,0,0,0,1,0,1,1,0,J202827-571807
60,71287058,0,0,0,0,1,0,0,0,4,0,1,0,1,0,0,0,0,3,0,0,0,0,J202850-582907
61,71287059,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,2,1,0,J202908-554012
62,71287060,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,J202931-564434
63,71287061,0,0,1,2,1,0,0,0,3,0,0,0,1,1,2,0,0,0,1,0,0,0,J202934-535210
64,71287062,0,0,1,0,0,0,2,0,3,0,2,4,2,0,0,0,0,0,0,0,1,0,J202937-555202
65,71287063,0,0,0,0,1,0,1,0,2,0,3,1,3,0,0,0,0,2,0,0,0,2,J202944-575721
66,71287064,0,0,0,0,1,0,1,0,4,0,2,1,2,1,1,0,0,2,0,0,1,0,J202948-544946
67,71287065,1,0,0,1,0,3,0,0,1,0,2,2,1,0,0,0,0,1,0,0,0,1,J203005-550457
68,71287066,0,1,2,0,0,1,0,0,3,0,2,1,3,0,2,0,0,4,0,1,1,1,J203035-551254
69,71287067,0,0,0,4,1,0,0,0,2,1,2,0,2,0,2,0,0,2,0,1,2,0,J203041-542804
70,71287068,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,J203051-582940
71,71287069,0,0,0,1,0,4,0,0,1,0,0,4,2,0,0,0,0,0,0,2,1,1,J203054-581046
72,71287070,0,0,0,2,0,0,1,0,0,0,2,3,3,0,0,0,0,1,0,2,2,0,J203111-560105
73,71287071,0,0,0,0,0,3,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,J203120-532248
74,71287072,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,1,J203129-534417
75,71287073,0,0,0,2,1,0,0,0,3,0,1,1,1,0,0,0,0,2,0,0,0,1,J203145-553758
76,71287074,1,0,0,0,0,1,1,0,0,0,2,0,3,0,0,0,1,1,0,0,0,2,J203152-534630
77,71287075,1,0,0,1,0,1,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,J203152-543534
78,71287076,0,1,1,1,1,0,0,0,2,0,2,1,1,1,0,0,0,1,0,0,1,0,J203200-562516
79,71287077,1,0,0,0,0,2,0,0,0,0,3,0,4,0,0,0,1,1,0,0,0,2,J203202-533756
80,71287078,1,0,0,0,0,1,1,0,0,0,5,0,4,0,0,0,0,0,0,0,0,1,J203203-534435
81,71287079,1,0,0,0,0,2,0,0,1,0,0,2,1,0,0,0,0,1,0,1,1,0,J203206-552953
82,71287080,0,0,2,0,1,0,1,3,1,0,3,1,1,0,0,0,0,0,0,0,1,1,J203216-562430
83,71287081,0,0,2,0,1,1,0,0,2,0,3,0,4,0,1,0,0,1,0,0,0,1,J203218-542519
84,71287082,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,J203229-573935
85,71287083,1,0,1,0,0,0,0,3,0,0,4,0,3,0,1,0,0,0,1,0,2,1,J203232-562946
